id,city,state,country,latitude,longitude,map_url
1,Bangalore,Karnataka,India,12.9716,77.5946,https://www.google.com/maps?q=12.9716,77.5946
2,Mumbai,Maharashtra,India,19.0760,72.8777,https://www.google.com/maps?q=19.0760,72.8777
3,Delhi,Delhi,India,28.6139,77.2090,https://www.google.com/maps?q=28.6139,77.2090
4,Chennai,Tamil Nadu,India,13.0827,80.2707,https://www.google.com/maps?q=13.0827,80.2707
5,Kolkata,West Bengal,India,22.5726,88.3639,https://www.google.com/maps?q=22.5726,88.3639
6,Pune,Maharashtra,India,18.5204,73.8567,https://www.google.com/maps?q=18.5204,73.8567
7,Hyderabad,Telangana,India,17.3850,78.4867,https://www.google.com/maps?q=17.3850,78.4867
8,Ahmedabad,Gujarat,India,23.0225,72.5714,https://www.google.com/maps?q=23.0225,72.5714
9,Jaipur,Rajasthan,India,26.9124,75.7873,https://www.google.com/maps?q=26.9124,75.7873
10,Surat,Gujarat,India,21.1702,72.8311,https://www.google.com/maps?q=21.1702,72.8311
11,Coimbatore,Tamil Nadu,India,11.0168,76.9558,https://www.google.com/maps?q=11.0168,76.9558
12,Lucknow,Uttar Pradesh,India,26.8467,80.9462,https://www.google.com/maps?q=26.8467,80.9462
13,Nagpur,Maharashtra,India,21.1458,79.0882,https://www.google.com/maps?q=21.1458,79.0882
14,Indore,Madhya Pradesh,India,22.7196,75.8577,https://www.google.com/maps?q=22.7196,75.8577
15,Thiruvananthapuram,Kerala,India,8.5241,76.9366,https://www.google.com/maps?q=8.5241,76.9366
16,Bhopal,Madhya Pradesh,India,23.2599,77.4126,https://www.google.com/maps?q=23.2599,77.4126
17,Vadodara,Gujarat,India,22.3072,73.1812,https://www.google.com/maps?q=22.3072,73.1812
18,Patna,Bihar,India,25.5941,85.1376,https://www.google.com/maps?q=25.5941,85.1376
19,Ludhiana,Punjab,India,30.9010,75.8573,https://www.google.com/maps?q=30.9010,75.8573
20,Kanpur,Uttar Pradesh,India,26.4499,80.3319,https://www.google.com/maps?q=26.4499,80.3319
21,Agra,Uttar Pradesh,India,27.1767,78.0081,https://www.google.com/maps?q=27.1767,78.0081
22,Vishakhapatnam,Andhra Pradesh,India,17.6868,83.2185,https://www.google.com/maps?q=17.6868,83.2185
23,Bhubaneswar,Odisha,India,20.2961,85.8245,https://www.google.com/maps?q=20.2961,85.8245
24,Coastal City1,State1,India,10.0000,75.0000,https://www.google.com/maps?q=10.0000,75.0000
25,Coastal City2,State2,India,11.0000,76.0000,https://www.google.com/maps?q=11.0000,76.0000
26,Metro City1,State3,India,12.5000,77.5000,https://www.google.com/maps?q=12.5000,77.5000
27,Metro City2,State4,India,13.5000,78.5000,https://www.google.com/maps?q=13.5000,78.5000
28,Industrial City1,State5,India,14.5000,79.5000,https://www.google.com/maps?q=14.5000,79.5000
29,Industrial City2,State6,India,15.5000,80.5000,https://www.google.com/maps?q=15.5000,80.5000
30,Town1,State7,India,16.5000,81.5000,https://www.google.com/maps?q=16.5000,81.5000
31,Town2,State8,India,17.5000,82.5000,https://www.google.com/maps?q=17.5000,82.5000
32,CityA,State9,India,18.5000,83.5000,https://www.google.com/maps?q=18.5000,83.5000
33,CityB,State10,India,19.5000,84.5000,https://www.google.com/maps?q=19.5000,84.5000
34,CityC,State11,India,20.5000,85.5000,https://www.google.com/maps?q=20.5000,85.5000
35,CityD,State12,India,21.5000,86.5000,https://www.google.com/maps?q=21.5000,86.5000
36,CityE,State13,India,22.5000,87.5000,https://www.google.com/maps?q=22.5000,87.5000
37,CityF,State14,India,23.5000,88.5000,https://www.google.com/maps?q=23.5000,88.5000
38,CityG,State15,India,24.5000,89.5000,https://www.google.com/maps?q=24.5000,89.5000
39,CityH,State16,India,25.5000,90.5000,https://www.google.com/maps?q=25.5000,90.5000
40,CityI,State17,India,26.5000,91.5000,https://www.google.com/maps?q=26.5000,91.5000
41,CityJ,State18,India,27.5000,92.5000,https://www.google.com/maps?q=27.5000,92.5000
42,CityK,State19,India,28.5000,93.5000,https://www.google.com/maps?q=28.5000,93.5000
43,CityL,State20,India,29.5000,94.5000,https://www.google.com/maps?q=29.5000,94.5000
44,CityM,State21,India,30.5000,95.5000,https://www.google.com/maps?q=30.5000,95.5000
45,CityN,State22,India,31.5000,96.5000,https://www.google.com/maps?q=31.5000,96.5000
46,CityO,State23,India,32.5000,97.5000,https://www.google.com/maps?q=32.5000,97.5000
47,CityP,State24,India,33.5000,98.5000,https://www.google.com/maps?q=33.5000,98.5000
48,CityQ,State25,India,34.5000,99.5000,https://www.google.com/maps?q=34.5000,99.5000
49,CityR,State26,India,35.5000,100.5000,https://www.google.com/maps?q=35.5000,100.5000
50,CityS,State27,India,36.5000,101.5000,https://www.google.com/maps?q=36.5000,101.5000
